college_name,branch,category,year,round,cutoff,college_type,city
"Government Polytechnic, Murtijapur",Computer Engineering,OBC,2023,1,80.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OBC,2023,2,79.42,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OBC,2023,3,75.68,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OBC,2024,1,87.5,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OBC,2024,2,83.17,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,OBC,2024,3,74.04,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,EWS,2023,1,85.57,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,EWS,2023,2,84.11,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,EWS,2023,3,79.73,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,EWS,2024,1,91.1,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,EWS,2024,2,93.27,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,EWS,2024,3,82.21,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,TFWS,2023,1,94.32,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,TFWS,2023,2,89.36,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,TFWS,2023,3,84.15,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,TFWS,2024,1,94.18,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,TFWS,2024,2,91.59,Government,Murtijapur
"Government Polytechnic, Murtijapur",Computer Engineering,TFWS,2024,3,83.79,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OPEN,2023,1,87.74,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OPEN,2023,2,82.83,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OPEN,2023,3,79.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OPEN,2024,1,95.49,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OPEN,2024,2,82.58,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OPEN,2024,3,83.15,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,SC,2023,1,71.76,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,SC,2023,2,70.29,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,SC,2023,3,69.66,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,SC,2024,1,77.36,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,SC,2024,2,71.22,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,SC,2024,3,68.08,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,ST,2023,1,74.58,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,ST,2023,2,68.1,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,ST,2023,3,66.33,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,ST,2024,1,75.51,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,ST,2024,2,70.34,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,ST,2024,3,72.16,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,VJ,2023,1,78.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,VJ,2023,2,68.86,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,VJ,2023,3,69.45,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,VJ,2024,1,77.73,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,VJ,2024,2,76.8,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,VJ,2024,3,69.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,NT,2023,1,76.52,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,NT,2023,2,73.92,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,NT,2023,3,70.8,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,NT,2024,1,76.65,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,NT,2024,2,74.43,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,NT,2024,3,70.19,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OBC,2023,1,78.09,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OBC,2023,2,78.95,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OBC,2023,3,72.26,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OBC,2024,1,79.25,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OBC,2024,2,79.52,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,OBC,2024,3,77.84,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,EWS,2023,1,85.87,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,EWS,2023,2,76.58,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,EWS,2023,3,74.46,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,EWS,2024,1,88.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,EWS,2024,2,80.59,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,EWS,2024,3,78.57,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,TFWS,2023,1,89.76,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,TFWS,2023,2,81.95,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,TFWS,2023,3,79.27,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,TFWS,2024,1,84.38,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,TFWS,2024,2,84.27,Government,Murtijapur
"Government Polytechnic, Murtijapur",Information Technology,TFWS,2024,3,81.27,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OPEN,2023,1,81.88,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OPEN,2023,2,83.43,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OPEN,2023,3,73.08,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OPEN,2024,1,86.03,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OPEN,2024,2,82.83,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OPEN,2024,3,81.1,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,SC,2023,1,68.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,SC,2023,2,70.46,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,SC,2023,3,64.57,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,SC,2024,1,71.91,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,SC,2024,2,71.1,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,SC,2024,3,66.89,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,ST,2023,1,68.83,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,ST,2023,2,66.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,ST,2023,3,62.26,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,ST,2024,1,72.36,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,ST,2024,2,69.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,ST,2024,3,68.09,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,VJ,2023,1,70.93,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,VJ,2023,2,74.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,VJ,2023,3,62.17,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,VJ,2024,1,75.31,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,VJ,2024,2,73.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,VJ,2024,3,68.61,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,NT,2023,1,72.16,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,NT,2023,2,69.32,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,NT,2023,3,65.08,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,NT,2024,1,74.43,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,NT,2024,2,73.53,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,NT,2024,3,68.77,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OBC,2023,1,74.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OBC,2023,2,73.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OBC,2023,3,68.96,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OBC,2024,1,79.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OBC,2024,2,75.57,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,OBC,2024,3,68.74,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,EWS,2023,1,79.04,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,EWS,2023,2,77.65,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,EWS,2023,3,73.37,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,EWS,2024,1,82.52,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,EWS,2024,2,78.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,EWS,2024,3,76.86,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,TFWS,2023,1,83.2,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,TFWS,2023,2,81.25,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,TFWS,2023,3,75.54,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,TFWS,2024,1,86.48,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,TFWS,2024,2,84.76,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electronics and Telecommunication,TFWS,2024,3,79.87,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OPEN,2023,1,78.34,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OPEN,2023,2,75.48,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OPEN,2023,3,69.08,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OPEN,2024,1,80.37,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OPEN,2024,2,74.44,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OPEN,2024,3,71.76,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,SC,2023,1,64.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,SC,2023,2,62.14,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,SC,2023,3,59.87,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,SC,2024,1,65.52,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,SC,2024,2,67.99,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,SC,2024,3,58.43,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,ST,2023,1,61.24,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,ST,2023,2,62.8,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,ST,2023,3,58.88,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,ST,2024,1,66.83,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,ST,2024,2,63.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,ST,2024,3,59.0,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,VJ,2023,1,64.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,VJ,2023,2,63.55,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,VJ,2023,3,58.71,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,VJ,2024,1,70.69,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,VJ,2024,2,65.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,VJ,2024,3,60.21,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,NT,2023,1,66.09,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,NT,2023,2,64.23,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,NT,2023,3,58.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,NT,2024,1,67.09,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,NT,2024,2,65.79,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,NT,2024,3,62.35,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OBC,2023,1,68.02,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OBC,2023,2,64.64,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OBC,2023,3,62.6,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OBC,2024,1,68.21,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OBC,2024,2,64.74,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,OBC,2024,3,62.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,EWS,2023,1,72.45,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,EWS,2023,2,69.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,EWS,2023,3,68.54,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,EWS,2024,1,76.77,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,EWS,2024,2,70.99,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,EWS,2024,3,67.52,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,TFWS,2023,1,74.7,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,TFWS,2023,2,72.84,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,TFWS,2023,3,68.46,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,TFWS,2024,1,79.66,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,TFWS,2024,2,73.41,Government,Murtijapur
"Government Polytechnic, Murtijapur",Electrical Engineering,TFWS,2024,3,72.15,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OPEN,2023,1,75.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OPEN,2023,2,69.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OPEN,2023,3,66.39,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OPEN,2024,1,76.44,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OPEN,2024,2,70.5,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OPEN,2024,3,68.0,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,SC,2023,1,61.97,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,SC,2023,2,59.04,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,SC,2023,3,54.2,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,SC,2024,1,63.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,SC,2024,2,61.61,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,SC,2024,3,60.32,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,ST,2023,1,62.4,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,ST,2023,2,61.77,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,ST,2023,3,52.9,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,ST,2024,1,64.04,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,ST,2024,2,59.55,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,ST,2024,3,60.45,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,VJ,2023,1,61.78,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,VJ,2023,2,58.55,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,VJ,2023,3,55.86,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,VJ,2024,1,61.05,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,VJ,2024,2,60.99,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,VJ,2024,3,57.25,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,NT,2023,1,63.7,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,NT,2023,2,60.91,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,NT,2023,3,60.81,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,NT,2024,1,67.2,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,NT,2024,2,60.88,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,NT,2024,3,56.97,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OBC,2023,1,66.57,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OBC,2023,2,59.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OBC,2023,3,62.69,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OBC,2024,1,69.91,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OBC,2024,2,63.24,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,OBC,2024,3,57.37,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,EWS,2023,1,71.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,EWS,2023,2,65.54,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,EWS,2023,3,64.78,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,EWS,2024,1,68.12,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,EWS,2024,2,66.54,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,EWS,2024,3,64.19,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,TFWS,2023,1,72.97,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,TFWS,2023,2,68.33,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,TFWS,2023,3,66.83,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,TFWS,2024,1,72.92,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,TFWS,2024,2,71.02,Government,Murtijapur
"Government Polytechnic, Murtijapur",Mechanical Engineering,TFWS,2024,3,67.79,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OPEN,2023,1,70.07,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OPEN,2023,2,67.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OPEN,2023,3,59.88,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OPEN,2024,1,68.04,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OPEN,2024,2,70.11,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OPEN,2024,3,64.66,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,SC,2023,1,57.19,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,SC,2023,2,58.85,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,SC,2023,3,53.05,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,SC,2024,1,62.8,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,SC,2024,2,57.56,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,SC,2024,3,58.52,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,ST,2023,1,60.81,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,ST,2023,2,53.94,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,ST,2023,3,53.51,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,ST,2024,1,60.31,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,ST,2024,2,58.81,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,ST,2024,3,51.19,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,VJ,2023,1,61.44,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,VJ,2023,2,59.18,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,VJ,2023,3,50.54,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,VJ,2024,1,59.5,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,VJ,2024,2,54.69,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,VJ,2024,3,55.14,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,NT,2023,1,61.5,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,NT,2023,2,60.06,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,NT,2023,3,54.2,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,NT,2024,1,65.12,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,NT,2024,2,56.01,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,NT,2024,3,52.27,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OBC,2023,1,62.02,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OBC,2023,2,59.8,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OBC,2023,3,55.86,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OBC,2024,1,59.86,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OBC,2024,2,60.62,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,OBC,2024,3,54.99,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,EWS,2023,1,66.93,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,EWS,2023,2,63.04,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,EWS,2023,3,57.15,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,EWS,2024,1,66.53,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,EWS,2024,2,62.06,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,EWS,2024,3,60.67,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,TFWS,2023,1,70.95,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,TFWS,2023,2,63.61,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,TFWS,2023,3,63.14,Government,Murtijapur
"Government Polytechnic, Murtijapur",Civil Engineering,TFWS,2024,1,70.05,Government,Murtijapur
